_t,theory,simsAverage
0,0.0,0.0
1,1.0788888406998431e-5,9.990561750060926e-6
2,2.3323621386461824e-5,2.278933598390485e-5
3,3.788665437853833e-5,3.658688285325244e-5
4,5.48061212894968e-5,5.4509717305678955e-5
5,7.446321484994023e-5,7.730706778435506e-5
6,9.73007570777007e-5,0.00010153555078930236
7,0.00012383315092867608,0.00012684067837664243
8,0.0001546579346139998,0.00016292241293595328
9,0.0001904691951835069,0.00020256327139675845
10,0.00023207313853290668,0.00024929634523495253
11,0.00028040615977542593,0.0002999580555837456
12,0.00033655581182101546,0.00035639748959216796
13,0.0004017851320036181,0.0004224205539892994
14,0.00047756085781758273,0.0005076745171606047
15,0.0005655861444375798,0.0006048523059483147
16,0.0006678384900353773,0.0007124742918464214
17,0.0007866136813039493,0.0008356386283160461
18,0.000924576692529433,0.0009802461975270615
19,0.0010848206083695633,0.0011493559490546735
20,0.001270934794571743,0.0013397547288842568
21,0.0014870837132801018,0.0015693528397039385
22,0.0017380979710789335,0.0018342787565222237
23,0.0020295793985848354,0.002141718692378455
24,0.0023680221893735975,0.0024948260209877223
25,0.0027609523709304362,0.0029037713479479485
26,0.0032170881367732385,0.0033760784933505117
27,0.0037465238294474013,0.003923860582124454
28,0.004360940617245124,0.004547005713122655
29,0.005073847136067733,0.00526823816159993
30,0.005900853547018969,0.0061124416168311085
31,0.006859982555169286,0.007080923345772308
32,0.007972020897219823,0.00821976852651005
33,0.009260914570055179,0.009541603975998111
34,0.010754210551131571,0.011071391659366128
35,0.012483546840786897,0.012811699063609504
36,0.014485191188323698,0.014825923473494491
37,0.0168006266618147,0.01717309253975159
38,0.01947717905611368,0.01983031531632365
39,0.022568676729160853,0.02291499066935434
40,0.026136127495757555,0.026470864038436008
41,0.030248389343657367,0.03056102990395561
42,0.03498280162079925,0.03526563311456235
43,0.04042573067619282,0.04067618715135049
44,0.04667296855506464,0.04677576181751721
45,0.053829905346466256,0.05376346336202343
46,0.06201137569422055,0.06161438484323222
47,0.0713410590232596,0.07054874960296745
48,0.08195029337998783,0.08055771743361029
49,0.09397614787841468,0.09183945686409667
50,0.10755859353311448,0.10453397646100493
51,0.12283662326613642,0.11859757883791762
52,0.13994320688464112,0.13420972068778358
53,0.15899903398778847,0.1514560973344683
54,0.18010510385441725,0.17041350493541374
55,0.20333436912923164,0.19087144224970015
56,0.2287228248415496,0.21307453760548722
57,0.25626064024457207,0.23690102297176593
58,0.2858841291035429,0.2624050865890486
59,0.3174695026036817,0.2894623496036109
60,0.3508293988085498,0.31778150684479406
61,0.3857130878703051,0.34729208850217885
62,0.42181098589316646,0.37803588033202923
63,0.45876367936812834,0.40948276984966353
64,0.49617511655608193,0.4413284063568556
65,0.5336290524502483,0.4738034834776302
66,0.5707073525591292,0.5062186481836517
67,0.6070084729475245,0.5386879939369903
68,0.6421644062286158,0.5707243697186586
69,0.6758546220491131,0.6022559646425671
70,0.7078159805186689,0.632797979319073
71,0.7378481582344516,0.6623556755186125
72,0.765814685347473,0.6906453030571534
73,0.7916401517452304,0.7176422853223439
74,0.8153044419039998,0.7432867413459378
75,0.8368349860927268,0.7673718558835062
76,0.8562979917435056,0.7898085802561065
77,0.8737894861869289,0.8108262482228471
78,0.8894268101165239,0.830100470757645
79,0.9033409939834406,0.8481726292664493
80,0.9156702588346841,0.8647550130543042
81,0.9265547271831686,0.8797553783789188
82,0.9361323150118837,0.8930785759329182
83,0.9445357014420662,0.9053765165270169
84,0.9518902317287301,0.9164516071122798
85,0.9583125940450418,0.9263641460274025
86,0.9639101130231854,0.9354528733931959
87,0.9687805164165363,0.9432627657066242
88,0.9730120502651349,0.9503146059840001
89,0.9766838388534889,0.956698080794368
90,0.9798664061378831,0.962112046996749
91,0.9826222938056435,0.9667819161451655
92,0.9850067270594722,0.9710500040333132
93,0.9870682924282849,0.9747669924603106
94,0.9888496025164122,0.9781730307050007
95,0.9903879308952387,0.9812131144151391
96,0.9917158066585601,0.9836740607551989
97,0.9928615628552343,0.9857060100579197
98,0.9938498364049935,0.9876946386090575
99,0.994702019480012,0.989241404438359
100,0.9954366639350185,0.9905984552453108
