_f,n_f
0.0125,0.007146447721179626
0.0375,0.00520274798927614
0.0625,0.002940683646112601
0.0875,0.0018976206434316355
0.1125,0.0014535857908847187
0.1375,0.0011771112600536195
0.1625,0.0009048257372654157
0.1875,0.0007707774798927614
0.2125,0.0005655160857908848
0.2375,0.0004984919571045577
0.2625,0.00045660187667560326
0.2875,0.00037701072386058985
0.3125,0.0003393096514745309
0.3375,0.000293230563002681
0.3625,0.00023877345844504024
0.3875,0.00016337131367292226
0.4125,0.0001675603217158177
0.4375,0.0001549932975871314
0.4625,0.00012567024128686327
0.4875,0.00012567024128686327
